ID,label
0,3
1,3
2,7
3,9
4,5
5,5
6,9
7,1
8,3
9,6
10,0
11,6
12,4
13,7
14,7
15,3
16,9
17,1
18,9
19,3
20,4
21,2
22,5
23,3
24,0
25,9
26,6
27,1
28,6
29,4
30,4
31,1
32,2
33,7
34,4
35,1
36,0
37,3
38,7
39,1
40,9
41,3
42,3
43,2
44,9
45,1
46,7
47,8
48,0
49,0
50,4
51,9
52,3
53,8
54,7
55,7
56,9
57,6
58,9
59,8
60,2
61,0
62,3
63,6
64,7
65,7
66,5
67,3
68,2
69,0
70,5
71,9
72,7
73,0
74,0
75,1
76,1
77,0
78,3
79,2
80,7
81,4
82,6
83,3
84,4
85,5
86,8
87,5
88,9
89,5
90,9
91,3
92,7
93,3
94,5
95,5
96,2
97,3
98,8
99,8
100,0
101,8
102,9
103,6
104,0
105,7
106,8
107,0
108,6
109,4
110,2
111,2
112,8
113,2
114,8
115,3
116,8
117,3
118,7
119,5
120,6
121,6
122,4
123,0
124,0
125,9
126,1
127,8
128,3
129,9
130,5
131,2
132,4
133,7
134,1
135,2
136,9
137,6
138,0
139,9
140,7
141,9
142,6
143,7
144,3
145,8
146,7
147,6
148,2
149,1
150,6
151,4
152,9
153,1
154,7
155,9
156,6
157,8
158,6
159,1
160,8
161,3
162,2
163,6
164,7
165,0
166,9
167,2
168,8
169,5
170,6
171,8
172,4
173,2
174,6
175,8
176,5
177,8
178,6
179,2
180,8
181,5
182,2
183,0
184,3
185,4
186,4
187,7
188,2
189,0
190,7
191,9
192,3
193,9
194,8
195,7
196,3
197,3
198,5
199,1
200,2
201,0
202,6
203,1
204,7
205,4
206,3
207,7
208,4
209,0
210,0
211,6
212,1
213,1
214,5
215,5
216,2
217,5
218,9
219,4
220,0
221,4
222,0
223,0
224,9
225,6
226,5
227,3
228,0
229,2
230,2
231,5
232,0
233,6
234,9
235,8
236,1
237,1
238,0
239,5
240,1
241,2
242,8
243,7
244,3
245,7
246,3
247,7
248,5
249,0
250,9
251,1
252,2
253,3
254,0
255,2
256,9
257,8
258,6
259,8
260,0
261,0
262,8
263,1
264,0
265,9
266,8
267,2
268,7
269,4
270,2
271,3
272,6
273,0
274,2
275,6
276,1
277,9
278,4
279,7
280,4
281,9
282,6
283,1
284,9
285,5
286,0
287,9
288,3
289,9
290,4
291,6
292,4
293,3
294,4
295,6
296,3
297,5
298,3
299,8
300,4
301,5
302,7
303,2
304,2
305,0
306,8
307,1
308,6
309,8
310,7
311,9
312,0
313,7
314,2
315,0
316,9
317,8
318,5
319,6
320,1
321,6
322,4
323,7
324,2
325,0
326,3
327,3
328,1
329,1
330,0
331,6
332,6
333,5
334,3
335,1
336,6
337,9
338,1
339,1
340,0
341,4
342,2
343,0
344,7
345,2
346,5
347,0
348,4
349,7
350,7
351,4
352,5
353,5
354,5
355,9
356,9
357,7
358,9
359,3
360,2
361,8
362,6
363,3
364,3
365,8
366,2
367,7
368,9
369,1
370,6
371,4
372,1
373,9
374,9
375,1
376,1
377,6
378,3
379,8
380,3
381,2
382,1
383,4
384,9
385,2
386,4
387,0
388,7
389,1
390,1
391,0
392,1
393,8
394,7
395,3
396,1
397,6
398,6
399,7
400,8
401,0
402,6
403,4
404,0
405,8
406,6
407,6
408,1
409,9
410,2
411,9
412,4
413,4
414,7
415,0
416,2
417,4
418,4
419,3
420,0
421,4
422,6
423,6
424,6
425,3
426,2
427,2
428,7
429,5
430,3
431,9
432,1
433,8
434,0
435,8
436,5
437,2
438,8
439,0
440,1
441,0
442,8
443,5
444,0
445,1
446,8
447,0
448,5
449,1
450,5
451,4
452,1
453,6
454,7
455,4
456,4
457,2
458,8
459,6
460,7
461,1
462,3
463,3
464,4
465,3
466,2
467,1
468,7
469,0
470,2
471,3
472,5
473,3
474,5
475,0
476,2
477,9
478,2
479,0
480,9
481,2
482,1
483,6
484,9
485,0
486,2
487,6
488,7
489,8
490,2
491,7
492,9
493,1
494,0
495,4
496,6
497,8
498,3
499,2
500,0
501,4
502,6
503,0
504,1
505,7
506,6
507,8
508,7
509,9
510,2
511,3
512,9
513,5
514,0
515,7
516,7
517,7
518,6
519,4
520,0
521,3
522,5
523,2
524,1
525,5
526,7
527,4
528,5
529,4
530,9
531,6
532,8
533,0
534,2
535,0
536,5
537,8
538,1
539,8
540,6
541,9
542,9
543,8
544,8
545,4
546,0
547,9
548,0
549,2
550,3
551,7
552,0
553,4
554,8
555,1
556,8
557,6
558,3
559,2
560,1
561,7
562,1
563,6
564,7
565,7
566,9
567,6
568,1
569,4
570,8
571,0
572,2
573,9
574,1
575,7
576,8
577,4
578,1
579,8
580,0
581,1
582,1
583,8
584,7
585,9
586,4
587,6
588,9
589,3
590,0
591,0
592,1
593,8
594,8
595,2
596,2
597,2
598,7
599,7
600,2
601,5
602,7
603,5
604,4
605,0
606,7
607,1
608,0
609,5
610,5
611,0
612,0
613,5
614,2
615,7
616,9
617,7
618,1
619,0
620,0
621,8
622,8
623,4
624,8
625,4
626,7
627,5
628,5
629,4
630,6
631,7
632,9
633,6
634,4
635,9
636,0
637,3
638,8
639,3
640,1
641,6
642,4
643,8
644,1
645,7
646,5
647,7
648,9
649,7
650,3
651,1
652,9
653,9
654,5
655,1
656,8
657,7
658,5
659,5
660,5
661,2
662,9
663,4
664,8
665,7
666,0
667,7
668,1
669,4
670,2
671,3
672,0
673,1
674,4
675,2
676,0
677,8
678,7
679,1
680,7
681,4
682,1
683,1
684,7
685,7
686,2
687,2
688,3
689,7
690,2
691,3
692,1
693,7
694,5
695,8
696,6
697,8
698,3
699,3
700,9
701,9
702,9
703,5
704,2
705,7
706,7
707,5
708,7
709,2
710,1
711,0
712,4
713,8
714,5
715,5
716,0
717,0
718,1
719,1
720,8
721,7
722,2
723,3
724,0
725,5
726,9
727,9
728,2
729,6
730,3
731,4
732,7
733,1
734,4
735,1
736,7
737,1
738,1
739,3
740,7
741,0
742,1
743,4
744,5
745,5
746,2
747,8
748,8
749,9
750,4
751,7
752,9
753,8
754,2
755,0
756,4
757,2
758,0
759,3
760,9
761,9
762,8
763,1
764,9
765,3
766,5
767,1
768,0
769,5
770,6
771,9
772,6
773,3
774,9
775,5
776,0
777,8
778,0
779,1
780,0
781,8
782,3
783,4
784,2
785,8
786,2
787,2
788,7
789,6
790,1
791,2
792,9
793,8
794,3
795,4
796,3
797,5
798,0
799,5
800,4
801,3
802,4
803,8
804,9
805,4
806,8
807,4
808,4
809,0
810,7
811,4
812,7
813,1
814,3
815,1
816,7
817,0
818,7
819,3
820,3
821,0
822,9
823,8
824,8
825,8
826,0
827,8
828,5
829,8
830,9
831,9
832,3
833,5
834,8
835,9
836,1
837,1
838,1
839,5
840,2
841,5
842,7
843,8
844,0
845,3
846,2
847,8
848,9
849,6
850,5
851,9
852,5
853,3
854,2
855,3
856,7
857,1
858,8
859,0
860,2
861,0
862,7
863,1
864,7
865,5
866,5
867,1
868,3
869,4
870,6
871,8
872,5
873,8
874,7
875,7
876,6
877,9
878,9
879,1
880,4
881,6
